layer,batch,channel,height,width,num_output,fpops,lat,gflops
fc,64,64,1,1,256,1048576,0.0890,11.781752809
fc,64,64,1,1,320,1310720,0.0680,19.2752941176
fc,64,64,1,1,384,1572864,0.0690,22.7951304348
fc,64,64,1,1,512,2097152,0.0680,30.8404705882
fc,64,64,1,1,768,3145728,0.0680,46.2607058824
fc,64,64,1,1,1024,4194304,0.0690,60.7870144928
fc,64,64,1,1,1536,6291456,0.0900,69.9050666667
fc,64,64,1,1,2048,8388608,0.0970,86.4804948454
fc,64,64,1,1,2560,10485760,0.0790,132.731139241
fc,64,64,1,1,3072,12582912,0.1090,115.439559633
fc,64,64,1,1,3200,13107200,0.0940,139.438297872
fc,64,64,1,1,4096,16777216,0.1030,162.885592233
fc,256,640,1,1,64,10485760,0.3680,28.4939130435
fc,256,640,1,1,128,20971520,0.3740,56.0735828877
fc,256,640,1,1,196,32112640,0.4100,78.3235121951
fc,256,640,1,1,256,41943040,0.4000,104.8576
fc,256,640,1,1,320,52428800,0.3920,133.746938776
fc,256,640,1,1,384,62914560,0.4100,153.450146341
fc,256,640,1,1,512,83886080,0.4360,192.399266055
fc,256,640,1,1,768,125829120,0.5090,247.20848723
fc,256,640,1,1,1024,167772160,0.7860,213.450585242
fc,256,640,1,1,1536,251658240,0.5430,463.459005525
fc,256,640,1,1,2048,335544320,0.7610,440.925519054
fc,256,640,1,1,2560,419430400,0.7910,530.25335019
fc,256,640,1,1,3072,503316480,0.7850,641.167490446
fc,256,640,1,1,3200,524288000,0.7820,670.445012788
fc,256,640,1,1,4096,671088640,1.0090,665.10271556
fc,256,384,1,1,64,6291456,0.2440,25.7846557377
fc,256,384,1,1,128,12582912,0.2490,50.5337831325
fc,256,384,1,1,196,19267584,0.2560,75.264
fc,256,384,1,1,256,25165824,0.2580,97.5419534884
fc,256,384,1,1,320,31457280,0.2550,123.361882353
fc,256,384,1,1,384,37748736,0.2810,134.33713879
fc,256,384,1,1,512,50331648,0.2930,171.780368601
fc,256,384,1,1,768,75497472,0.3240,233.016888889
fc,256,384,1,1,1024,100663296,0.3530,285.165144476
fc,256,384,1,1,1536,150994944,0.3650,413.684778082
fc,256,384,1,1,2048,201326592,0.5130,392.449497076
fc,256,384,1,1,2560,251658240,0.5170,486.766421663
fc,256,384,1,1,3072,301989888,0.5190,581.868763006
fc,256,384,1,1,3200,314572800,0.5310,592.415819209
fc,256,384,1,1,4096,402653184,0.6740,597.408284866
fc,256,2000,1,1,64,32768000,0.8230,39.815309842
fc,256,2000,1,1,128,65536000,1.0330,63.4424007744
fc,256,2000,1,1,196,100352000,1.0340,97.0522243714
fc,256,2000,1,1,256,131072000,1.0570,124.003784295
fc,256,2000,1,1,320,163840000,1.0650,153.840375587
fc,256,2000,1,1,384,196608000,1.0940,179.714808044
fc,256,2000,1,1,512,262144000,1.1700,224.054700855
fc,256,2000,1,1,768,393216000,1.4040,280.068376068
fc,256,2000,1,1,1024,524288000,1.4540,360.583218707
fc,256,2000,1,1,1536,786432000,1.4030,560.535994298
fc,256,2000,1,1,2048,1048576000,2.0010,524.025987006
fc,256,2000,1,1,2560,1310720000,2.0210,648.550222662
fc,256,2000,1,1,3072,1572864000,2.0360,772.526522593
fc,256,2000,1,1,3200,1638400000,2.0600,795.339805825
fc,256,2000,1,1,4096,2097152000,2.7830,753.558030902
fc,256,576,1,1,64,9437184,0.3330,28.3398918919
fc,256,576,1,1,128,18874368,0.3320,56.8505060241
fc,256,576,1,1,196,28901376,0.3350,86.2727641791
fc,256,576,1,1,256,37748736,0.3450,109.416626087
fc,256,576,1,1,320,47185920,0.3520,134.050909091
fc,256,576,1,1,384,56623104,0.4260,132.918084507
fc,256,576,1,1,512,75497472,0.4090,184.590396088
fc,256,576,1,1,768,113246208,0.4690,241.463130064
fc,256,576,1,1,1024,150994944,0.4910,307.525344196
fc,256,576,1,1,1536,226492416,0.4930,459.416665314
fc,256,576,1,1,2048,301989888,0.6960,433.893517241
fc,256,576,1,1,2560,377487360,0.7040,536.203636364
fc,256,576,1,1,3072,452984832,0.7200,629.1456
fc,256,576,1,1,3200,471859200,0.7270,649.049793673
fc,256,576,1,1,4096,603979776,0.9120,662.258526316
fc,256,4000,1,1,64,65536000,1.4600,44.8876712329
fc,256,4000,1,1,128,131072000,1.7690,74.0938383267
fc,256,4000,1,1,196,200704000,1.9750,101.622278481
fc,256,4000,1,1,256,262144000,1.8510,141.622906537
fc,256,4000,1,1,320,327680000,1.8650,175.699731903
fc,256,4000,1,1,384,393216000,1.9440,202.271604938
fc,256,4000,1,1,512,524288000,2.0900,250.855502392
fc,256,4000,1,1,768,786432000,2.6210,300.050362457
fc,256,4000,1,1,1024,1048576000,2.7620,379.643736423
fc,256,4000,1,1,1536,1572864000,2.7560,570.705370102
fc,256,4000,1,1,2048,2097152000,3.8550,544.008300908
fc,256,4000,1,1,2560,2621440000,3.9800,658.653266332
fc,256,4000,1,1,3072,3145728000,3.9140,803.711803781
fc,256,4000,1,1,3200,3276800000,3.9650,826.431273644
fc,256,4000,1,1,4096,4194304000,5.1610,812.692113931
fc,256,3000,1,1,64,49152000,1.1630,42.2631126397
fc,256,3000,1,1,128,98304000,1.4320,68.6480446927
fc,256,3000,1,1,196,150528000,1.4060,107.06116643
fc,256,3000,1,1,256,196608000,1.5040,130.723404255
fc,256,3000,1,1,320,245760000,1.4690,167.29748128
fc,256,3000,1,1,384,294912000,1.5200,194.021052632
fc,256,3000,1,1,512,393216000,1.6220,242.426633785
fc,256,3000,1,1,768,589824000,2.0050,294.176558603
fc,256,3000,1,1,1024,786432000,2.0430,384.93979442
fc,256,3000,1,1,1536,1179648000,2.1220,555.91328935
fc,256,3000,1,1,2048,1572864000,2.9850,526.922613065
fc,256,3000,1,1,2560,1966080000,3.0080,653.617021277
fc,256,3000,1,1,3072,2359296000,2.9900,789.062207358
fc,256,3000,1,1,3200,2457600000,3.0560,804.188481675
fc,256,3000,1,1,4096,3145728000,3.9410,798.205531591
fc,256,768,1,1,64,12582912,0.4300,29.2625860465
fc,256,768,1,1,128,25165824,0.4420,56.9362533937
fc,256,768,1,1,196,38535168,0.4490,85.8244276169
fc,256,768,1,1,256,50331648,0.4630,108.707663067
fc,256,768,1,1,320,62914560,0.4610,136.474099783
fc,256,768,1,1,384,75497472,0.4820,156.633759336
fc,256,768,1,1,512,100663296,0.5090,197.766789784
fc,256,768,1,1,768,150994944,0.6020,250.822166113
fc,256,768,1,1,1024,201326592,0.6240,322.638769231
fc,256,768,1,1,1536,301989888,0.6330,477.077232227
fc,256,768,1,1,2048,402653184,0.9310,432.495364125
fc,256,768,1,1,2560,503316480,0.9230,545.30496208
fc,256,768,1,1,3072,603979776,0.9070,665.909345094
fc,256,768,1,1,3200,629145600,0.9570,657.414420063
fc,256,768,1,1,4096,805306368,1.3750,585.677358545
fc,256,512,1,1,64,8388608,0.3220,26.0515776398
fc,256,512,1,1,128,16777216,0.3060,54.827503268
fc,256,512,1,1,196,25690112,0.3260,78.8040245399
fc,256,512,1,1,256,33554432,0.3170,105.849943218
fc,256,512,1,1,320,41943040,0.3310,126.716132931
fc,256,512,1,1,384,50331648,0.3460,145.467190751
fc,256,512,1,1,512,67108864,0.3630,184.872903581
fc,256,512,1,1,768,100663296,0.4150,242.562159036
fc,256,512,1,1,1024,134217728,0.4610,291.144746204
fc,256,512,1,1,1536,201326592,0.4530,444.429562914
fc,256,512,1,1,2048,268435456,0.6310,425.412767036
fc,256,512,1,1,2560,335544320,0.6440,521.031552795
fc,256,512,1,1,3072,402653184,0.6870,586.103615721
fc,256,512,1,1,3200,419430400,0.6650,630.722406015
fc,256,512,1,1,4096,536870912,0.8370,641.422833931
fc,256,446,1,1,64,7307264,0.2890,25.284650519
fc,256,446,1,1,128,14614528,0.2790,52.3818207885
fc,256,446,1,1,196,22378496,0.2930,76.3771194539
fc,256,446,1,1,256,29229056,0.3170,92.2052239748
fc,256,446,1,1,320,36536320,0.2960,123.433513514
fc,256,446,1,1,384,43843584,0.3050,143.749455738
fc,256,446,1,1,512,58458112,0.3320,176.078650602
fc,256,446,1,1,768,87687168,0.3700,236.992345946
fc,256,446,1,1,1024,116916224,0.4040,289.396594059
fc,256,446,1,1,1536,175374336,0.4070,430.895174447
fc,256,446,1,1,2048,233832448,0.5650,413.862739823
fc,256,446,1,1,2560,292290560,0.5730,510.105689354
fc,256,446,1,1,3072,350748672,0.5810,603.698230637
fc,256,446,1,1,3200,365363200,0.5850,624.552478632
fc,256,446,1,1,4096,467664896,0.7670,609.732589309
fc,256,1000,1,1,64,16384000,0.5550,29.5207207207
fc,256,1000,1,1,128,32768000,0.5590,58.6189624329
fc,256,1000,1,1,196,50176000,0.5640,88.9645390071
fc,256,1000,1,1,256,65536000,0.5830,112.411663808
fc,256,1000,1,1,320,81920000,0.5850,140.034188034
fc,256,1000,1,1,384,98304000,0.6040,162.754966887
fc,256,1000,1,1,512,131072000,0.6300,208.050793651
fc,256,1000,1,1,768,196608000,0.7620,258.015748031
fc,256,1000,1,1,1024,262144000,0.8130,322.440344403
fc,256,1000,1,1,1536,393216000,0.8070,487.256505576
fc,256,1000,1,1,2048,524288000,1.1210,467.696699376
fc,256,1000,1,1,2560,655360000,1.1360,576.901408451
