layer,batch,channel,height,width,num_output,kernel_size,stride,out_dim,fpops,lat,gflops
local,1,192,22,22,48,5,2,9.5,41587200.0,6.0930,6.82540620384
local,1,192,22,22,48,5,4,5.25,12700800.0,4.9990,2.54066813363
local,1,192,22,22,48,7,1,16.0,231211008.0,12.5450,18.4305307294
local,1,192,22,22,48,7,2,8.5,65253888.0,7.8370,8.32638611714
local,1,192,22,22,48,7,4,4.75,20377728.0,6.3820,3.19300031338
local,1,192,22,22,48,9,1,14.0,292626432.0,17.3220,16.8933397991
local,1,192,22,22,48,9,2,7.5,83980800.0,9.1240,9.20438404209
local,1,192,22,22,48,9,4,4.25,26967168.0,7.3680,3.66003908795
local,1,64,28,28,3,3,1,26.0,2336256.0,1.5270,1.52996463654
local,1,64,28,28,3,3,2,13.5,629856.0,0.3940,1.59861928934
local,1,64,28,28,3,3,4,7.25,181656.0,0.9180,0.197882352941
local,1,64,28,28,3,5,1,24.0,5529600.0,1.1510,4.80417028671
local,1,64,28,28,3,5,2,12.5,1500000.0,1.0000,1.5
local,1,64,28,28,3,5,4,6.75,437400.0,0.3590,1.21838440111
local,1,64,28,28,3,7,1,22.0,9106944.0,1.2850,7.08711595331
local,1,64,28,28,3,7,2,11.5,2488416.0,1.0340,2.40659187621
local,1,64,28,28,3,7,4,6.25,735000.0,0.3930,1.87022900763
local,1,64,28,28,3,9,1,20.0,12441600.0,1.9360,6.42644628099
local,1,64,28,28,3,9,2,10.5,3429216.0,2.0200,1.69763168317
local,1,64,28,28,3,9,4,5.75,1028376.0,1.0390,0.989774783446
local,1,64,28,28,16,3,1,26.0,12460032.0,2.7650,4.50634068716
local,1,64,28,28,16,3,2,13.5,3359232.0,1.8510,1.81482009724
local,1,64,28,28,16,3,4,7.25,968832.0,1.2160,0.796736842105
local,1,64,28,28,16,5,1,24.0,29491200.0,2.7190,10.8463405664
local,1,64,28,28,16,5,2,12.5,8000000.0,2.0210,3.95843641762
local,1,64,28,28,16,5,4,6.75,2332800.0,1.1890,1.96198486123
local,1,64,28,28,16,7,1,22.0,48570368.0,3.5160,13.8140978385
local,1,64,28,28,16,7,2,11.5,13271552.0,2.2680,5.85165432099
local,1,64,28,28,16,7,4,6.25,3920000.0,1.3380,2.92974588939
local,1,64,28,28,16,9,1,20.0,66355200.0,4.2620,15.5690286251
local,1,64,28,28,16,9,2,10.5,18289152.0,3.0950,5.90925751212
local,1,64,28,28,16,9,4,5.75,5484672.0,2.0650,2.65601549637
local,1,64,28,28,24,3,1,26.0,18690048.0,3.4550,5.40956526773
local,1,64,28,28,24,3,2,13.5,5038848.0,2.3650,2.13059112051
local,1,64,28,28,24,3,4,7.25,1453248.0,2.9800,0.487667114094
local,1,64,28,28,24,5,1,24.0,44236800.0,3.6890,11.9915424234
local,1,64,28,28,24,5,2,12.5,12000000.0,2.6700,4.49438202247
local,1,64,28,28,24,5,4,6.75,3499200.0,1.7110,2.04511981297
local,1,64,28,28,24,7,1,22.0,72855552.0,4.8770,14.938599959
local,1,64,28,28,24,7,2,11.5,19907328.0,3.0280,6.57441479524
local,1,64,28,28,24,7,4,6.25,5880000.0,1.8930,3.10618066561
local,1,64,28,28,24,9,1,20.0,99532800.0,6.0040,16.5777481679
local,1,64,28,28,24,9,2,10.5,27433728.0,3.9700,6.91025894207
local,1,64,28,28,24,9,4,5.75,8227008.0,2.6720,3.07897005988
local,1,64,28,28,32,3,1,26.0,24920064.0,4.4560,5.59247396768
local,1,64,28,28,32,3,2,13.5,6718464.0,2.9240,2.29769630643
local,1,64,28,28,32,3,4,7.25,1937664.0,2.8470,0.680598524763
local,1,64,28,28,32,5,1,24.0,58982400.0,4.6470,12.6925758554
local,1,64,28,28,32,5,2,12.5,16000000.0,3.2890,4.86470051687
local,1,64,28,28,32,5,4,6.75,4665600.0,2.2180,2.1035166817
local,1,64,28,28,32,7,1,22.0,97140736.0,6.3880,15.2067526612
local,1,64,28,28,32,7,2,11.5,26543104.0,4.4740,5.93274564148
local,1,64,28,28,32,7,4,6.25,7840000.0,2.4800,3.16129032258
local,1,64,28,28,32,9,1,20.0,132710400.0,7.6700,17.3025293351
local,1,64,28,28,32,9,2,10.5,36578304.0,4.8820,7.49248340844
local,1,64,28,28,32,9,4,5.75,10969344.0,3.2910,3.33313400182
local,1,64,28,28,48,3,1,26.0,37380096.0,5.5370,6.75096550479
local,1,64,28,28,48,3,2,13.5,10077696.0,4.0100,2.51314114713
local,1,64,28,28,48,3,4,7.25,2906496.0,3.8810,0.74890389075
local,1,64,28,28,48,5,1,24.0,88473600.0,15.4690,5.71941301959
local,1,64,28,28,48,5,2,12.5,24000000.0,4.5570,5.26662277814
local,1,64,28,28,48,5,4,6.75,6998400.0,3.2630,2.14477474717
local,1,64,28,28,48,7,1,22.0,145711104.0,8.9100,16.3536592593
local,1,64,28,28,48,7,2,11.5,39814656.0,5.2350,7.6054739255
local,1,64,28,28,48,7,4,6.25,11760000.0,3.6160,3.25221238938
local,1,64,28,28,48,9,1,20.0,199065600.0,11.6380,17.1047946383
local,1,64,28,28,48,9,2,10.5,54867456.0,6.1470,8.92589165447
local,1,64,28,28,48,9,4,5.75,16454016.0,4.5370,3.62662905003
