layer,batch,channel,height,width,num_output,kernel_size,stride,out_dim,fpops,lat,gflops
local,1,192,22,22,24,5,4,5.25,6350400.0,8.2360,0.7710539096648859
local,1,192,22,22,24,7,1,16.0,115605504.0,75.9340,1.5224471778123108
local,1,192,22,22,24,7,2,8.5,32626944.0,23.3190,1.3991570822076418
local,1,192,22,22,24,7,4,4.75,10188864.0,10.4380,0.9761318260203102
local,1,192,22,22,24,9,1,14.0,146313216.0,102.4730,1.4278221189971994
local,1,192,22,22,24,9,2,7.5,41990400.0,29.3940,1.4285364360073485
local,1,192,22,22,24,9,4,4.25,13483584.0,15.4500,0.8727238834951456
local,1,192,22,22,32,3,1,20.0,44236800.0,30.1880,1.465376970981847
local,1,192,22,22,32,3,2,10.5,12192768.0,9.8090,1.2430184524416352
local,1,192,22,22,32,3,4,5.75,3656448.0,4.8910,0.7475869965242281
local,1,192,22,22,32,5,1,18.0,99532800.0,66.9970,1.485630699882084
local,1,192,22,22,32,5,2,9.5,27724800.0,20.6530,1.3424103035878565
local,1,192,22,22,32,5,4,5.25,8467200.0,11.2220,0.7545179112457673
local,1,192,22,22,32,7,1,16.0,154140672.0,99.5110,1.5489812382550674
local,1,192,22,22,32,7,2,8.5,43502592.0,30.3140,1.4350660420927626
local,1,192,22,22,32,7,4,4.75,13585152.0,13.7530,0.987795535519523
local,1,192,22,22,32,9,1,14.0,195084288.0,132.2860,1.4747160546089533
local,1,192,22,22,32,9,2,7.5,55987200.0,38.7410,1.4451666193438477
local,1,192,22,22,32,9,4,4.25,17978112.0,22.1990,0.8098613451056355
local,1,192,22,22,48,3,1,20.0,66355200.0,44.6940,1.4846556584776478
local,1,192,22,22,48,3,2,10.5,18289152.0,14.2050,1.28751510031679
local,1,192,22,22,48,3,4,5.75,5484672.0,7.0950,0.7730334038054968
local,1,192,22,22,48,5,1,18.0,149299200.0,99.6880,1.497664713907391
local,1,192,22,22,48,5,2,9.5,41587200.0,29.5880,1.4055427876166011
local,1,192,22,22,48,5,4,5.25,12700800.0,15.7610,0.8058371930715056
local,1,192,22,22,48,7,1,16.0,231211008.0,147.7870,1.5644881349509767
local,1,192,22,22,48,7,2,8.5,65253888.0,44.9520,1.4516348104644954
local,1,192,22,22,48,7,4,4.75,20377728.0,19.4250,1.0490464864864864
local,1,192,22,22,48,9,1,14.0,292626432.0,198.3310,1.4754447464087814
local,1,192,22,22,48,9,2,7.5,83980800.0,57.2510,1.4668879146215787
local,1,192,22,22,48,9,4,4.25,26967168.0,28.4950,0.9463824530619407
local,1,64,28,28,3,3,1,26.0,2336256.0,3.1740,0.7360604914933838
local,1,64,28,28,3,3,2,13.5,629856.0,1.3220,0.47644175491679275
local,1,64,28,28,3,3,4,7.25,181656.0,1.3030,0.1394136607828089
local,1,64,28,28,3,5,1,24.0,5529600.0,5.0680,1.0910812943962116
local,1,64,28,28,3,5,2,12.5,1500000.0,2.1160,0.7088846880907371
local,1,64,28,28,3,5,4,6.75,437400.0,0.9180,0.47647058823529403
local,1,64,28,28,3,7,1,22.0,9106944.0,7.9700,1.142652948557089
local,1,64,28,28,3,7,2,11.5,2488416.0,3.0010,0.8291956014661781
local,1,64,28,28,3,7,4,6.25,735000.0,1.2220,0.6014729950900164
local,1,64,28,28,3,9,1,20.0,12441600.0,13.1690,0.9447642189991647
local,1,64,28,28,3,9,2,10.5,3429216.0,3.8310,0.8951229444009398
local,1,64,28,28,3,9,4,5.75,1028376.0,1.8890,0.5444023292747485
