layer,batch,channel,height,width,num_output,fpops,lat,gflops
fc,64,2000,1,1,4096,524288000,10.1800,51.50176817288801
fc,64,576,1,1,64,2359296,0.3850,6.1280415584415575
fc,64,576,1,1,128,4718592,0.3940,11.976121827411166
fc,64,576,1,1,196,7225344,0.4820,14.990340248962656
fc,64,576,1,1,256,9437184,0.4960,19.02658064516129
fc,64,576,1,1,320,11796480,0.5390,21.885862708719852
fc,64,576,1,1,384,14155776,0.6990,20.251467811158797
fc,64,576,1,1,512,18874368,0.7730,24.41703492884864
fc,64,576,1,1,768,28311552,0.9510,29.770296529968455
fc,64,576,1,1,1024,37748736,1.1350,33.258798237885465
fc,64,576,1,1,1536,56623104,1.4620,38.729893296853625
fc,64,576,1,1,2048,75497472,1.7990,41.96635464146748
fc,64,576,1,1,2560,94371840,2.3070,40.90673602080624
fc,64,576,1,1,3072,113246208,2.4900,45.480404819277105
fc,64,576,1,1,3200,117964800,2.5580,46.11602814698984
fc,64,576,1,1,4096,150994944,3.2070,47.082926099158094
fc,64,4000,1,1,64,16384000,1.3070,12.535577658760522
fc,64,4000,1,1,128,32768000,1.4150,23.157597173144875
fc,64,4000,1,1,196,50176000,2.0790,24.134680134680135
fc,64,4000,1,1,256,65536000,2.1610,30.326700601573346
fc,64,4000,1,1,320,81920000,2.2540,36.34427684117125
fc,64,4000,1,1,384,98304000,2.4730,39.75090982612212
fc,64,4000,1,1,512,131072000,3.1100,42.14533762057878
fc,64,4000,1,1,768,196608000,4.2790,45.947183921476984
fc,64,4000,1,1,1024,262144000,5.6370,46.50416888415824
fc,64,4000,1,1,1536,393216000,8.4480,46.54545454545455
fc,64,4000,1,1,2048,524288000,10.3220,50.793257120713044
fc,64,4000,1,1,2560,655360000,14.2880,45.867861142217244
fc,64,4000,1,1,3072,786432000,15.3700,51.166688353936244
fc,64,4000,1,1,3200,819200000,16.6370,49.23964657089619
fc,64,4000,1,1,4096,1048576000,19.3850,54.09213309259736
fc,64,3000,1,1,64,12288000,1.5180,8.09486166007905
fc,64,3000,1,1,128,24576000,1.1210,21.923282783229258
fc,64,3000,1,1,196,37632000,1.6100,23.37391304347826
fc,64,3000,1,1,256,49152000,1.6600,29.609638554216865
fc,64,3000,1,1,320,61440000,1.7370,35.3713298791019
fc,64,3000,1,1,384,73728000,1.8890,39.03017469560614
fc,64,3000,1,1,512,98304000,2.4940,39.41619887730553
fc,64,3000,1,1,768,147456000,3.2460,45.426987060998144
fc,64,3000,1,1,1024,196608000,4.6360,42.40897325280414
fc,64,3000,1,1,1536,294912000,5.7160,51.59412176347095
fc,64,3000,1,1,2048,393216000,7.3710,53.34635734635734
fc,64,3000,1,1,2560,491520000,9.2290,53.25820782316611
fc,64,3000,1,1,3072,589824000,11.1770,52.771226626107186
fc,64,3000,1,1,3200,614400000,13.1160,46.84354986276304
fc,64,3000,1,1,4096,786432000,15.6270,50.32520637358417
fc,64,768,1,1,64,3145728,0.4310,7.2986728538283066
fc,64,768,1,1,128,6291456,0.4420,14.234063348416289
fc,64,768,1,1,196,9633792,0.5720,16.84229370629371
fc,64,768,1,1,256,12582912,0.6490,19.38815408320493
fc,64,768,1,1,320,15728640,0.6730,23.37093610698365
fc,64,768,1,1,384,18874368,0.6990,27.00195708154507
fc,64,768,1,1,512,25165824,0.8950,28.11823910614525
fc,64,768,1,1,768,37748736,1.1110,33.9772601260126
fc,64,768,1,1,1024,50331648,1.3500,37.28270222222222
fc,64,768,1,1,1536,75497472,1.8070,41.78056004427228
fc,64,768,1,1,2048,100663296,2.2440,44.85886631016042
fc,64,768,1,1,2560,125829120,2.7450,45.83938797814208
fc,64,768,1,1,3072,150994944,3.1690,47.647505206689814
fc,64,768,1,1,3200,157286400,3.2760,48.01172161172161
fc,64,768,1,1,4096,201326592,4.0950,49.16400293040293
fc,64,512,1,1,64,2097152,0.3750,5.592405333333333
fc,64,512,1,1,128,4194304,0.3860,10.866072538860104
fc,64,512,1,1,196,6422528,0.4560,14.084491228070176
fc,64,512,1,1,256,8388608,0.4750,17.66022736842105
fc,64,512,1,1,320,10485760,0.5340,19.636254681647937
fc,64,512,1,1,384,12582912,0.5590,22.50968157423971
fc,64,512,1,1,512,16777216,0.7110,23.596646976090014
fc,64,512,1,1,768,25165824,0.8210,30.65264799025579
fc,64,512,1,1,1024,33554432,1.0230,32.800031280547415
fc,64,512,1,1,1536,50331648,1.3310,37.8149120961683
fc,64,512,1,1,2048,67108864,1.6720,40.136880382775125
fc,64,512,1,1,2560,83886080,1.9870,42.21745344740815
fc,64,512,1,1,3072,100663296,2.2900,43.9577711790393
fc,64,512,1,1,3200,104857600,2.3480,44.65826235093697
fc,64,512,1,1,4096,134217728,3.0600,43.86200261437908
fc,64,446,1,1,64,1826816,0.4210,4.339230403800475
fc,64,446,1,1,128,3653632,0.4120,8.868038834951456
fc,64,446,1,1,196,5594624,0.4450,12.572188764044943
fc,64,446,1,1,256,7307264,0.4520,16.166513274336282
fc,64,446,1,1,320,9134080,0.5470,16.69850091407678
fc,64,446,1,1,384,10960896,0.5150,21.283293203883492
fc,64,446,1,1,512,14614528,0.5970,24.479946398659965
fc,64,446,1,1,768,21921792,0.8010,27.368029962546814
fc,64,446,1,1,1024,29229056,1.1830,24.70757058326289
fc,64,446,1,1,1536,43843584,1.4150,30.984865017667843
fc,64,446,1,1,2048,58458112,1.5100,38.71398145695365
fc,64,446,1,1,2560,73072640,1.8080,40.416283185840705
fc,64,446,1,1,3072,87687168,2.0830,42.09657609217474
fc,64,446,1,1,3200,91340800,2.1540,42.405199628597956
fc,64,446,1,1,4096,116916224,2.6490,44.13598489996225
fc,64,1000,1,1,64,4096000,0.4680,8.752136752136751
fc,64,1000,1,1,128,8192000,0.4940,16.582995951417004
fc,64,1000,1,1,196,12544000,1.7990,6.972762645914396
fc,64,1000,1,1,256,16384000,0.7080,23.141242937853107
fc,64,1000,1,1,320,20480000,0.7860,26.0559796437659
fc,64,1000,1,1,384,24576000,0.8210,29.934226552984168
fc,64,1000,1,1,512,32768000,0.9980,32.833667334669336
fc,64,1000,1,1,768,49152000,1.3300,36.95639097744361
fc,64,1000,1,1,1024,65536000,1.6760,39.10262529832935
fc,64,1000,1,1,1536,98304000,2.2200,44.281081081081076
fc,64,1000,1,1,2048,131072000,2.7460,47.731973780043695
fc,64,1000,1,1,2560,163840000,3.7150,44.102288021534314
fc,64,1000,1,1,3072,196608000,3.9600,49.64848484848485
fc,64,1000,1,1,3200,204800000,4.0280,50.84409136047667
fc,64,1000,1,1,4096,262144000,5.1590,50.81294824578407
fc,64,64,1,1,64,262144,0.2150,1.2192744186046511
fc,64,64,1,1,128,524288,0.2430,2.1575637860082306
fc,64,64,1,1,196,802816,0.3330,2.4108588588588584
fc,64,64,1,1,256,1048576,0.3690,2.8416693766937673
fc,64,64,1,1,320,1310720,0.2990,4.383678929765886
fc,64,64,1,1,384,1572864,0.3840,4.096
fc,64,64,1,1,512,2097152,0.3970,5.282498740554156
fc,64,64,1,1,768,3145728,0.4220,7.454331753554502
fc,64,64,1,1,1024,4194304,0.4390,9.554223234624146
fc,64,64,1,1,1536,6291456,0.5270,11.938246679316887
fc,64,64,1,1,2048,8388608,0.6050,13.86546776859504
fc,64,64,1,1,2560,10485760,0.6870,15.26311499272198
fc,64,64,1,1,3072,12582912,0.7390,17.02694451962111
fc,64,64,1,1,3200,13107200,0.7280,18.004395604395604
fc,64,64,1,1,4096,16777216,0.8430,19.90179833926453
fc,256,640,1,1,64,10485760,1.2540,8.361850079744817
fc,256,640,1,1,128,20971520,0.9470,22.145216473072864
fc,256,640,1,1,196,32112640,1.3250,24.235954716981134
fc,256,640,1,1,256,41943040,1.4420,29.086712898751735
fc,256,640,1,1,320,52428800,2.1500,24.385488372093022
fc,256,640,1,1,384,62914560,1.8760,33.536545842217485
fc,256,640,1,1,512,83886080,2.2150,37.87181941309255
fc,256,640,1,1,768,125829120,3.0280,41.55519154557464
fc,256,640,1,1,1024,167772160,3.7920,44.243713080168774
fc,256,640,1,1,1536,251658240,5.8410,43.08478685156651
fc,256,640,1,1,2048,335544320,7.0080,47.88018264840183
fc,256,640,1,1,2560,419430400,8.5800,48.884662004662005
fc,256,640,1,1,3072,503316480,10.5720,47.60844494892169
fc,256,640,1,1,3200,524288000,11.5390,45.436172978594335
fc,256,640,1,1,4096,671088640,13.2930,50.48436319867599
fc,256,384,1,1,64,6291456,0.5210,12.075731285988484
fc,256,384,1,1,128,12582912,0.7250,17.355740689655175
fc,256,384,1,1,196,19267584,0.8780,21.944856492027338
fc,256,384,1,1,256,25165824,0.9690,25.970922600619193
fc,256,384,1,1,320,31457280,1.0870,28.93954001839927
fc,256,384,1,1,384,37748736,1.2370,30.516358932902182
fc,256,384,1,1,512,50331648,1.4570,34.54471379547014
fc,256,384,1,1,768,75497472,1.9310,39.0976033143449
fc,256,384,1,1,1024,100663296,2.5050,40.18494850299401
fc,256,384,1,1,1536,150994944,3.4630,43.60235171816345
fc,256,384,1,1,2048,201326592,4.4940,44.798974632843795
fc,256,384,1,1,2560,251658240,5.3850,46.733192200557106
fc,256,384,1,1,3072,301989888,6.9750,43.296041290322584
fc,256,384,1,1,3200,314572800,6.5350,48.136618209640396
fc,256,384,1,1,4096,402653184,8.2620,48.7355584604212
fc,256,2000,1,1,64,32768000,2.2890,14.315421581476626
fc,256,2000,1,1,128,65536000,3.6530,17.94032302217356
fc,256,2000,1,1,196,100352000,3.5570,28.21253865617093
fc,256,2000,1,1,256,131072000,4.3340,30.242731887401945
fc,256,2000,1,1,320,163840000,4.4210,37.059488803438136
fc,256,2000,1,1,384,196608000,5.0600,38.85533596837945
fc,256,2000,1,1,512,262144000,6.1900,42.34959612277867
fc,256,2000,1,1,768,393216000,8.6040,45.70153417015343
fc,256,2000,1,1,1024,524288000,10.9860,47.72328417986528
fc,256,2000,1,1,1536,786432000,15.2870,51.44449532282331
fc,256,2000,1,1,2048,1048576000,21.3350,49.14816029997656
fc,256,2000,1,1,2560,1310720000,25.5260,51.34842905273055
fc,256,2000,1,1,3072,1572864000,30.1250,52.2112531120332
fc,256,2000,1,1,3200,1638400000,31.9830,51.227214457680645
fc,256,2000,1,1,4096,2097152000,39.2430,53.4401549320898
fc,256,576,1,1,64,9437184,0.6960,13.559172413793105
fc,256,576,1,1,128,18874368,0.9620,19.619925155925156
fc,256,576,1,1,196,28901376,1.2120,23.846019801980198
fc,256,576,1,1,256,37748736,1.3080,28.85988990825688
fc,256,576,1,1,320,47185920,1.4750,31.99045423728813
fc,256,576,1,1,384,56623104,1.6930,33.44542468989959
fc,256,576,1,1,512,75497472,2.0530,36.77421919142718
fc,256,576,1,1,768,113246208,2.7600,41.0312347826087
fc,256,576,1,1,1024,150994944,3.9310,38.411331467819885
fc,256,576,1,1,1536,226492416,4.8260,46.93170658930792
fc,256,576,1,1,2048,301989888,6.2500,48.31838208
fc,256,576,1,1,2560,377487360,8.3100,45.42567509025271
fc,256,576,1,1,3072,452984832,9.1170,49.685733464955575
fc,256,576,1,1,3200,471859200,9.4200,50.0912101910828
fc,256,576,1,1,4096,603979776,12.6480,47.752986717267554
fc,256,4000,1,1,64,65536000,4.5830,14.299803622081606
fc,256,4000,1,1,128,131072000,5.9010,22.211828503643453
fc,256,4000,1,1,196,200704000,8.0460,24.94456872980363
fc,256,4000,1,1,256,262144000,8.4900,30.87679623085983
fc,256,4000,1,1,320,327680000,8.9630,36.559187771951365
fc,256,4000,1,1,384,393216000,10.6050,37.07835926449788
fc,256,4000,1,1,512,524288000,13.5830,38.598836781270705
fc,256,4000,1,1,768,786432000,16.6380,47.26721961774251
fc,256,4000,1,1,1024,1048576000,26.3930,39.729322168756866
fc,256,4000,1,1,1536,1572864000,35.9010,43.81114732180162
fc,256,4000,1,1,2048,2097152000,46.5040,45.096163770858425
fc,256,4000,1,1,2560,2621440000,61.1050,42.90058096718763
fc,256,4000,1,1,3072,3145728000,72.6490,43.30036201461823
fc,256,4000,1,1,3200,3276800000,76.0200,43.104446198368855
